Age,Experience,Education,Hours,Department,Salary,HighSalary
44,15,14,59,IT,120481,1
57,16,12,54,IT,120228,1
55,19,16,47,Finance,136316,1
60,22,14,38,Finance,140843,1
42,1,14,38,HR,65588,0
47,10,14,41,Finance,94541,1
55,33,18,55,HR,190330,1
21,0,12,46,Sales,61726,0
55,32,12,36,IT,168671,1
57,25,16,50,Finance,149668,1
34,1,18,41,IT,76140,0
23,0,18,53,HR,75391,0
21,0,18,45,Finance,69533,0
25,0,16,35,Finance,58021,0
46,21,16,43,Finance,142209,1
34,9,16,39,Finance,100109,1
59,33,18,60,IT,192993,1
47,14,12,51,Finance,112144,1
29,8,18,35,HR,92801,1
35,6,16,51,Finance,87459,1
35,10,18,46,HR,102079,1
46,16,14,59,HR,126514,1
33,11,18,47,IT,105281,1
52,8,18,58,Finance,96491,1
59,35,12,45,HR,178706,1
52,8,12,47,Finance,82060,1
24,3,12,47,IT,67759,0
50,3,14,40,IT,66343,0
57,32,12,60,Finance,169218,1
43,22,14,56,HR,145695,1
59,30,16,40,Sales,170028,1
35,5,12,54,Sales,72946,0
49,9,18,55,IT,104109,1
56,15,18,44,HR,124948,1
33,3,14,53,Sales,75524,0
52,21,12,37,HR,129925,1
27,5,18,60,Finance,92807,1
42,12,16,41,IT,103212,1
48,15,12,39,Finance,107421,1
22,1,16,42,Finance,70474,0
26,5,18,39,Finance,80466,1
48,5,12,46,HR,73782,0
48,25,14,38,Sales,151772,1
40,10,18,53,Finance,103431,1
50,23,16,52,IT,147664,1
31,2,12,37,HR,61328,0
48,19,16,41,Sales,132955,1
45,9,16,42,Finance,100311,1
59,0,14,49,IT,58017,0
53,25,14,55,Finance,156792,1
21,0,18,51,Sales,67010,0
47,25,14,53,Sales,155042,1
33,11,14,38,Finance,94643,1
23,1,18,50,Finance,70823,0
59,24,18,60,HR,155680,1
26,2,18,47,Sales,76337,0
28,3,18,46,Sales,78351,0
47,6,16,38,Finance,84064,1
29,2,16,46,IT,70504,0
57,35,18,51,Finance,194475,1
53,1,18,60,Finance,79287,0
44,20,12,43,Sales,124540,1
35,1,12,46,HR,63676,0
52,13,12,60,Finance,110638,1
52,25,14,49,IT,150562,1
44,15,16,54,IT,116394,1
32,5,16,36,Finance,79553,0
59,16,12,43,IT,116431,1
22,1,12,48,IT,58668,0
23,1,16,38,Finance,70183,0
57,3,14,38,IT,65071,0
37,1,12,40,IT,57249,0
22,0,18,58,Finance,71502,0
22,0,12,39,Sales,51320,0
48,27,16,58,HR,164114,1
43,18,16,51,HR,134480,1
57,15,12,47,Sales,105676,1
52,21,12,54,Finance,130898,1
53,24,18,51,Sales,154537,1
21,0,18,53,HR,75322,0
39,15,14,57,HR,118627,1
22,1,14,35,HR,62855,0
46,22,18,55,HR,147044,1
52,20,14,51,Finance,131157,1
26,4,14,56,HR,75353,0
52,10,12,59,HR,97974,1
24,2,18,37,Finance,72840,0
31,8,12,48,Sales,90553,1
37,3,12,46,Finance,64927,0
58,24,14,49,HR,142774,1
44,12,12,40,IT,96204,1
25,2,16,54,Finance,71228,0
54,25,14,56,Finance,147947,1
26,0,16,36,Sales,63103,0
42,3,14,38,HR,68062,0
31,2,12,47,IT,61002,0
36,1,14,47,Finance,64667,0
53,8,16,57,Finance,101795,1
29,1,14,56,Finance,68376,0
26,5,16,59,IT,85097,1
36,4,18,57,Finance,91637,1
49,4,12,51,Finance,73862,0
23,1,16,40,IT,70673,0
40,4,18,45,Finance,87181,1
56,3,12,53,IT,70652,0
39,8,18,50,Sales,101851,1
46,21,16,42,IT,141717,1
23,2,12,35,Sales,63728,0
39,9,18,44,IT,101381,1
40,15,16,36,HR,115895,1
52,9,18,53,Finance,105790,1
27,4,12,48,Sales,71391,0
53,9,12,37,Finance,91199,1
60,5,12,57,Finance,80062,1
59,4,16,58,IT,84768,1
38,5,18,43,HR,90014,1
60,24,18,57,IT,161506,1
21,0,16,42,Finance,63542,0
31,10,12,45,IT,89300,1
48,18,14,49,Sales,123077,1
45,17,12,40,HR,117823,1
43,3,14,36,Finance,66403,0
51,7,12,35,IT,75271,0
50,26,16,37,Sales,154120,1
55,31,14,59,HR,169634,1
27,2,16,57,IT,74698,0
36,3,14,52,IT,72871,0
46,2,18,48,Finance,81126,1
22,1,14,51,Sales,70372,0
21,0,14,36,HR,55950,0
32,1,14,53,IT,66524,0
25,3,18,56,HR,83902,1
57,5,16,43,Sales,82567,1
52,10,18,42,Finance,104086,1
29,4,14,44,Finance,74249,0
55,18,12,43,Finance,115446,1
39,1,18,42,HR,71522,0
36,8,12,41,HR,89243,1
23,2,18,56,IT,79624,0
40,16,18,58,Sales,127515,1
44,8,14,40,Sales,83218,1
53,16,16,36,Sales,113925,1
44,14,16,43,HR,118420,1
31,6,14,43,Finance,86315,1
28,5,18,53,Sales,88580,1
56,30,16,43,IT,170060,1
58,18,16,36,HR,123570,1
60,34,16,53,Finance,191666,1
40,0,14,50,Sales,59942,0
55,3,12,56,Finance,70757,0
45,17,12,48,IT,114154,1
55,25,12,54,Sales,143687,1
45,7,12,58,Sales,88137,1
49,18,12,35,Finance,120611,1
38,5,16,47,HR,86555,1
38,0,16,56,Finance,69153,0
22,1,18,36,IT,74809,0
55,32,16,56,Finance,177171,1
36,2,14,48,Finance,64760,0
56,20,18,35,Sales,139604,1
53,23,16,49,HR,150749,1
24,0,18,52,HR,74384,0
53,18,18,43,HR,134988,1
34,12,12,56,HR,105529,1
41,20,18,42,Finance,136383,1
40,9,16,41,Sales,90863,1
28,7,12,43,Sales,78628,0
27,3,16,43,HR,74249,0
23,0,12,45,Finance,58832,0
37,6,16,38,HR,83338,1
53,16,12,41,HR,108815,1
32,9,12,55,Sales,95771,1
42,9,14,41,Sales,93113,1
42,5,16,38,HR,83686,1
50,16,18,46,Finance,122958,1
58,36,12,60,HR,185125,1
58,17,16,51,Sales,128196,1
28,5,12,54,Sales,74983,0
47,25,14,60,Finance,154736,1
47,16,14,37,HR,117909,1
54,15,14,43,HR,111505,1
41,7,14,39,IT,82752,1
50,23,18,54,HR,151175,1
53,12,18,50,Finance,109838,1
48,23,12,42,Sales,140513,1
53,15,16,55,IT,124053,1
25,2,14,50,Finance,65895,0
39,5,14,53,Finance,82009,1
24,2,18,50,IT,78913,0
55,34,18,52,HR,189011,1
37,0,14,49,IT,60708,0
48,17,16,58,Finance,133076,1
50,4,12,52,HR,78424,0
49,12,12,48,Sales,99070,1
26,1,12,58,IT,62790,0
55,25,12,50,Finance,147785,1
57,16,16,39,HR,116108,1
44,0,16,42,Finance,63472,0
49,24,16,50,HR,150677,1
51,1,18,55,HR,80527,1
55,9,14,35,IT,92446,1
53,19,16,45,Sales,133489,1
41,6,12,45,HR,76958,0
52,23,16,36,Finance,142697,1
43,15,14,56,HR,118183,1
53,28,18,53,Sales,172988,1
23,0,12,58,Finance,63806,0
38,15,18,39,HR,118800,1
45,19,16,37,HR,131671,1
51,25,12,60,IT,149968,1
23,2,12,57,Sales,68107,0
60,11,16,42,HR,107667,1
44,20,16,38,Sales,134697,1
52,9,14,47,HR,98325,1
42,21,16,59,Finance,142890,1
43,1,16,56,Sales,72986,0
22,0,16,48,Finance,64896,0
47,12,12,35,Sales,94972,1
22,0,14,39,Finance,61926,0
46,14,12,55,HR,113857,1
37,0,16,41,Finance,63861,0
60,25,14,57,Finance,155214,1
53,24,16,40,HR,145358,1
29,5,12,49,Sales,79450,0
59,5,12,49,Finance,78457,0
49,19,16,42,IT,132313,1
46,14,14,36,IT,111176,1
55,23,12,48,Finance,141505,1
45,20,16,50,Finance,134619,1
44,6,18,57,Finance,98972,1
33,8,16,44,Sales,88777,1
27,4,16,49,HR,80943,1
56,28,14,57,IT,166362,1
40,4,16,38,IT,72955,0
21,0,18,46,Sales,65651,0
28,5,16,44,Finance,87110,1
36,3,18,36,Finance,75940,0
34,5,12,38,HR,69812,0
32,1,16,54,HR,69430,0
43,2,14,40,IT,67419,0
35,0,16,48,HR,63765,0
48,17,18,57,IT,135138,1
54,23,18,37,Sales,142866,1
22,1,14,49,Finance,65116,0
52,12,18,60,Finance,118328,1
43,21,16,35,IT,140592,1
42,14,18,53,Finance,118226,1
45,4,16,59,Sales,81501,1
42,2,16,35,HR,70052,0
42,4,18,47,Sales,81134,1
26,4,14,42,Finance,77053,0
35,4,12,52,Sales,69584,0
57,2,14,56,Finance,70899,0
53,22,12,37,IT,133563,1
28,3,14,57,HR,71675,0
25,3,16,52,HR,74123,0
59,29,16,54,Finance,168597,1
24,1,18,60,Finance,79470,0
26,1,12,43,HR,63871,0
52,19,12,40,Sales,118611,1
50,3,18,54,Sales,87075,1
55,32,14,36,Sales,170880,1
60,25,18,60,HR,164481,1
36,15,14,59,IT,115275,1
33,7,18,38,Finance,90842,1
50,16,12,59,Finance,112971,1
39,7,12,52,HR,88415,1
37,6,14,41,IT,85719,1
39,7,12,45,HR,77189,0
48,20,12,39,Sales,129437,1
46,23,12,42,Sales,136114,1
57,30,12,45,Finance,165642,1
46,25,16,58,Finance,156843,1
43,11,18,54,Finance,110566,1
29,2,18,54,Finance,74968,0
32,9,16,49,Sales,98366,1
21,0,12,58,Sales,65602,0
21,0,18,37,IT,69689,0
54,11,18,41,Finance,106598,1
52,19,18,58,HR,135364,1
45,4,14,42,IT,72200,0
60,6,16,45,IT,82416,1
21,0,14,44,Sales,65844,0
36,3,14,54,Finance,75826,0
59,13,16,43,IT,112551,1
25,2,18,49,Finance,72765,0
42,6,14,60,Sales,91917,1
49,28,18,54,IT,174891,1
23,1,14,58,IT,65804,0
32,8,18,56,HR,102993,1
46,3,12,39,Sales,65771,0
36,15,12,49,HR,112916,1
57,9,12,38,Sales,90978,1
42,18,16,39,HR,128673,1
49,23,12,49,Sales,138008,1
34,0,14,51,Sales,65865,0
48,8,18,57,IT,103961,1
25,4,18,42,HR,79560,0
50,0,18,59,HR,71447,0
25,1,18,53,HR,70443,0
32,7,14,43,IT,84242,1
36,8,18,44,Finance,96905,1
46,6,14,39,Sales,77588,0
46,15,14,44,HR,112598,1
41,18,18,56,Sales,136683,1
59,38,18,35,IT,203411,1
56,5,18,59,Sales,86890,1
53,10,14,59,IT,102542,1
50,28,16,56,Finance,170101,1
57,11,14,58,HR,103458,1
43,9,16,38,IT,98606,1
30,4,18,55,Sales,89220,1
25,1,14,39,IT,67028,0
56,19,18,57,IT,137928,1
54,27,16,41,Finance,159112,1
51,23,16,57,HR,145226,1
30,4,14,39,IT,68769,0
39,4,14,54,IT,80749,1
52,28,14,42,Sales,159213,1
21,0,14,51,IT,62619,0
25,3,12,35,IT,65961,0
24,3,12,56,HR,70277,0
36,9,18,52,HR,105600,1
44,2,16,46,Sales,75859,0
36,12,16,37,IT,106884,1
22,1,18,54,IT,72334,0
48,21,18,48,IT,141443,1
52,1,18,50,Finance,76853,0
47,17,12,52,Finance,114868,1
40,8,18,44,Sales,97964,1
44,12,16,57,Finance,108703,1
32,6,18,49,Sales,87691,1
55,8,14,44,IT,94120,1
53,21,16,35,Finance,140721,1
53,4,16,53,HR,77388,0
57,11,16,36,Finance,104479,1
32,0,12,47,IT,57252,0
23,1,12,59,HR,60711,0
21,0,16,50,Sales,67697,0
53,18,14,42,IT,119334,1
60,15,16,37,HR,116278,1
30,2,12,55,Finance,65809,0
49,2,14,53,Sales,74462,0
33,6,16,48,Finance,87101,1
32,9,12,45,HR,85859,1
51,26,14,46,HR,155519,1
22,1,18,45,IT,68916,0
55,25,18,45,Sales,158909,1
43,12,16,56,Sales,113064,1
37,2,18,55,HR,81181,1
46,25,12,52,IT,144762,1
28,3,14,44,HR,71392,0
49,22,16,50,HR,148429,1
46,2,14,42,Sales,63935,0
30,6,14,40,Finance,81050,1
46,24,14,53,Finance,143661,1
54,26,12,47,Sales,146231,1
27,1,16,49,IT,70014,0
24,3,18,47,Sales,84740,1
31,10,14,35,IT,88801,1
49,19,14,55,Sales,133740,1
56,24,14,36,IT,141494,1
45,23,12,47,HR,136301,1
41,7,18,36,HR,95967,1
56,8,14,59,IT,97505,1
30,4,12,45,Sales,72714,0
57,29,12,47,HR,160244,1
29,4,14,44,Sales,75720,0
44,18,14,57,Finance,123768,1
55,15,12,56,HR,110428,1
55,23,12,49,Sales,140938,1
56,20,14,35,Sales,123717,1
38,3,12,48,Finance,72840,0
59,38,12,44,Sales,189420,1
52,14,14,52,IT,115992,1
44,5,14,45,HR,76621,0
43,4,16,41,IT,78439,0
52,13,18,49,Finance,111921,1
57,3,14,37,IT,73743,0
32,7,14,36,Sales,80181,1
33,7,14,56,Finance,85732,1
43,10,18,42,Finance,103781,1
45,16,16,42,IT,117920,1
55,20,12,45,Finance,129450,1
50,24,18,50,IT,159968,1
37,10,14,36,IT,95977,1
40,15,14,56,IT,121190,1
45,11,16,39,Finance,97821,1
42,12,16,41,Finance,101759,1
33,10,16,54,HR,107476,1
39,15,12,47,IT,112825,1
56,25,18,36,IT,157791,1
32,4,18,60,IT,92467,1
39,0,16,37,IT,67722,0
32,5,12,43,IT,77541,0
29,7,18,44,IT,94075,1
27,6,14,58,IT,84852,1
48,1,14,47,HR,67912,0
34,11,14,59,HR,105125,1
51,20,18,55,Sales,139321,1
39,13,16,47,IT,113031,1
36,15,14,39,IT,108188,1
25,2,16,57,HR,79505,0
55,8,12,41,HR,79831,0
32,9,14,51,IT,92717,1
45,16,12,49,IT,116585,1
41,11,16,39,HR,100819,1
56,5,18,58,HR,92464,1
43,18,16,41,Sales,125360,1
36,10,14,36,Sales,98600,1
59,28,14,58,IT,160924,1
59,5,16,52,HR,80789,1
34,10,14,44,Sales,92300,1
51,24,14,35,IT,145810,1
25,0,12,48,Sales,58701,0
55,23,18,53,Sales,156097,1
43,15,16,50,Sales,122317,1
49,19,12,53,Finance,123600,1
31,5,14,40,IT,81733,1
38,4,12,46,Sales,67296,0
32,4,18,37,IT,80274,1
29,3,16,41,IT,78050,0
30,1,18,58,HR,77430,0
37,5,18,37,IT,86569,1
58,27,12,59,Sales,152853,1
27,0,12,51,IT,61546,0
33,6,18,49,HR,96598,1
60,21,14,53,Finance,132643,1
29,2,16,53,Finance,72155,0
47,0,14,57,HR,67099,0
22,0,14,45,Sales,66366,0
25,3,16,55,Sales,80743,1
49,24,12,54,Sales,141892,1
57,14,14,36,IT,108873,1
58,17,12,41,Finance,119030,1
39,2,16,53,Sales,73147,0
28,1,14,41,Finance,65421,0
21,0,12,44,HR,53815,0
42,1,12,46,Finance,56319,0
37,9,14,57,Sales,91820,1
27,2,16,52,Finance,73371,0
45,23,18,57,HR,155921,1
24,2,12,40,Finance,64606,0
56,7,16,60,IT,97076,1
26,2,14,54,HR,74642,0
51,17,12,55,IT,122828,1
39,12,12,42,IT,94106,1
59,23,12,39,Sales,135941,1
47,18,16,37,Sales,130160,1
30,6,12,36,HR,75387,0
46,11,12,56,Sales,100738,1
39,16,14,40,Finance,117600,1
59,29,12,41,HR,162161,1
23,2,16,42,Sales,71957,0
33,11,14,38,Sales,93639,1
48,21,18,46,Finance,148282,1
40,11,14,58,IT,107515,1
48,27,12,46,Finance,150355,1
28,7,18,51,IT,95187,1
59,12,14,56,Sales,104003,1
21,0,12,56,IT,59722,0
23,0,14,53,IT,60857,0
33,11,16,43,Sales,103726,1
48,18,12,46,HR,117589,1
45,13,16,55,Finance,115401,1
53,6,12,51,Sales,75884,0
58,5,16,57,Finance,87778,1
26,2,18,44,Finance,74400,0
52,18,16,53,IT,127242,1
41,3,14,60,Sales,75690,0
36,2,12,60,HR,73400,0
41,8,14,45,Finance,89285,1
31,10,16,54,Finance,107557,1
57,35,12,56,HR,183056,1
56,28,16,58,Finance,168425,1
55,23,18,47,Sales,153055,1
39,15,18,38,HR,115962,1
40,4,18,49,Sales,88417,1
38,9,16,46,HR,96802,1
34,6,16,59,Finance,95274,1
35,12,18,58,HR,115381,1
51,28,16,60,Sales,169612,1
21,0,14,44,HR,61168,0
23,1,16,56,Finance,73366,0
36,13,14,41,IT,106200,1
43,6,18,58,Finance,95084,1
31,3,16,36,Finance,75138,0
32,5,18,55,IT,92353,1
30,6,12,41,HR,74287,0
52,4,16,42,Finance,77667,0
36,4,16,55,IT,82568,1
28,1,18,53,Sales,74504,0
58,22,18,40,IT,148877,1
32,11,18,55,Finance,113806,1
44,5,12,42,Sales,75754,0
48,26,12,59,Finance,151434,1
28,0,18,59,IT,75504,0
48,3,16,56,Sales,75541,0
56,34,16,54,Finance,185700,1
46,22,18,38,IT,149253,1
28,2,14,59,Sales,73430,0
48,27,12,54,Finance,155230,1
48,25,12,58,IT,147161,1
57,7,14,43,Finance,87664,1
56,15,18,39,Finance,119043,1
47,8,16,40,Finance,91825,1
37,2,16,53,HR,71881,0
29,4,12,46,Finance,67447,0
53,19,14,39,Sales,125123,1
40,13,16,39,IT,106182,1
33,11,12,52,IT,98355,1
48,25,16,60,HR,154519,1
49,14,16,40,HR,117014,1
33,5,16,43,HR,82074,1
55,4,12,45,Finance,74571,0
26,4,14,57,Finance,81080,1
38,15,18,48,Sales,120732,1
25,0,14,58,IT,69612,0
45,12,16,36,IT,109073,1
22,0,14,48,Finance,64502,0
30,5,16,59,IT,88191,1
50,10,12,53,Finance,94108,1
25,4,12,44,HR,69875,0
53,7,12,39,Finance,76979,0
21,0,16,57,Sales,68796,0
38,7,14,38,Finance,83437,1
52,31,18,41,Finance,180219,1
31,7,18,58,IT,93773,1
41,13,12,47,Finance,103366,1
46,12,18,44,Sales,109628,1
45,2,16,44,Finance,76683,0
42,3,14,38,Finance,70504,0
47,26,18,50,HR,166219,1
33,3,18,49,Finance,79749,0
53,14,14,55,Finance,116812,1
54,26,18,45,Finance,164433,1
55,27,14,53,Sales,157281,1
21,0,16,55,IT,73201,0
41,9,16,58,HR,105334,1
26,4,16,37,HR,76889,0
48,11,12,49,Finance,99645,1
37,13,16,50,Finance,111852,1
25,0,18,48,IT,72871,0
51,13,12,39,Finance,103259,1
25,0,12,60,Sales,62649,0
58,15,12,51,IT,116704,1
23,1,16,52,Finance,71108,0
43,6,12,53,IT,83217,1
57,14,16,35,HR,115285,1
57,23,16,59,Finance,146233,1
30,0,12,43,IT,52111,0
30,2,12,55,IT,68557,0
39,12,18,48,Finance,116997,1
37,8,12,54,IT,88708,1
41,14,16,55,Finance,117517,1
34,8,18,54,Finance,103322,1
29,2,18,55,Sales,82625,1
21,0,16,57,Sales,70579,0
33,7,12,45,IT,86113,1
24,0,12,58,IT,60462,0
21,0,14,36,IT,61148,0
60,15,12,54,HR,115642,1
52,7,14,58,Finance,92845,1
54,28,18,57,Finance,169338,1
48,22,18,59,HR,147193,1
51,12,18,39,HR,106277,1
28,6,14,56,IT,82397,1
59,13,16,58,Finance,112328,1
46,20,16,49,Sales,132012,1
54,29,18,46,Sales,172986,1
23,0,14,48,HR,61475,0
32,6,14,45,HR,77503,0
21,0,18,55,Finance,74561,0
25,2,12,43,Finance,67977,0
50,14,18,54,Sales,121418,1
50,15,14,42,Finance,108291,1
37,5,12,46,IT,72680,0
43,22,16,37,HR,136335,1
35,0,12,55,Sales,63262,0
57,17,16,49,Sales,129131,1
41,15,14,42,IT,110503,1
34,11,18,60,Finance,113521,1
22,1,18,41,Finance,74220,0
31,7,18,51,HR,97534,1
59,28,18,46,IT,171253,1
58,29,18,54,Sales,171069,1
54,25,14,52,IT,148567,1
58,21,14,52,Sales,136527,1
54,32,18,49,IT,178959,1
38,6,12,57,Finance,79154,0
50,14,18,37,Sales,111633,1
35,12,16,53,HR,107019,1
47,21,16,49,IT,136723,1
54,12,16,50,Finance,107457,1
58,8,16,56,Sales,94389,1
53,23,18,56,Finance,152719,1
44,14,16,51,IT,118392,1
35,3,12,35,HR,66744,0
50,12,18,45,HR,108440,1
37,11,16,40,IT,101236,1
25,4,18,57,Sales,82172,1
49,6,18,43,Finance,87787,1
24,3,18,54,Finance,83057,1
30,4,14,50,Sales,81179,1
37,8,16,60,IT,94345,1
30,9,14,40,Finance,96478,1
37,11,12,46,Finance,100523,1
40,3,12,53,IT,67406,0
44,19,14,47,Finance,133022,1
25,4,16,47,Sales,83702,1
54,16,18,38,Sales,120219,1
26,4,12,43,IT,72694,0
22,0,12,48,IT,60613,0
33,10,12,48,Sales,91492,1
31,0,16,51,IT,67589,0
43,19,14,39,Sales,123791,1
36,1,14,57,Sales,71183,0
51,3,16,53,Sales,75902,0
31,7,12,36,Finance,83153,1
36,4,16,47,IT,84521,1
28,0,16,45,Finance,70048,0
24,2,14,36,IT,63892,0
60,0,16,35,HR,64561,0
24,0,16,55,Finance,65173,0
45,2,12,37,Finance,66380,0
23,2,18,46,Finance,77802,0
52,14,12,41,HR,107608,1
23,2,14,35,IT,67159,0
47,21,18,43,HR,137899,1
49,15,12,52,IT,107425,1
52,9,16,58,IT,101933,1
39,5,16,60,IT,83387,1
41,16,18,54,IT,132387,1
25,4,18,40,IT,80673,1
38,16,16,43,HR,123835,1
48,20,14,57,Finance,131028,1
42,18,12,42,HR,119003,1
41,17,16,57,Finance,129026,1
26,2,12,52,Finance,69590,0
21,0,12,59,Sales,66546,0
25,1,12,49,Finance,57824,0
32,6,12,35,HR,74844,0
46,4,14,48,Sales,73771,0
54,20,14,52,IT,133299,1
34,1,14,53,IT,70650,0
46,2,16,53,Finance,75016,0
47,19,16,44,IT,132937,1
29,4,16,54,IT,86669,1
46,12,14,55,Sales,110378,1
42,18,12,40,HR,121627,1
50,11,14,51,IT,101410,1
37,4,16,48,IT,75932,0
46,5,18,47,HR,87097,1
56,6,16,42,Sales,84452,1
21,0,12,56,Sales,59204,0
28,1,14,44,IT,62468,0
55,7,18,43,Finance,91055,1
35,8,18,39,HR,92840,1
42,3,12,57,Sales,74324,0
34,4,14,38,IT,68973,0
46,20,18,40,Sales,134565,1
48,7,16,40,IT,93497,1
43,6,12,47,HR,74536,0
34,4,18,38,Finance,79989,0
44,2,12,56,HR,64198,0
22,0,14,42,Sales,65346,0
46,10,14,39,Sales,97391,1
34,8,14,36,Sales,85066,1
27,4,16,43,Finance,80308,1
23,0,18,45,HR,67997,0
43,9,14,54,IT,95656,1
38,14,16,54,HR,114174,1
58,27,14,45,HR,160058,1
55,13,14,41,Finance,110045,1
35,3,18,60,HR,84910,1
45,20,16,48,Sales,139142,1
57,19,14,60,Finance,130034,1
48,1,16,40,Sales,70073,0
30,0,16,38,Sales,66619,0
59,23,14,40,HR,138717,1
37,4,14,37,IT,70435,0
59,37,12,57,HR,190276,1
42,10,18,40,IT,104395,1
46,7,14,37,Finance,85929,1
45,6,12,35,Finance,72657,0
37,3,18,60,Finance,82191,1
33,5,14,55,Sales,83541,1
40,15,16,60,Sales,120842,1
45,19,18,52,Finance,134655,1
24,2,16,57,HR,71375,0
30,6,12,57,Sales,79836,0
23,0,14,38,Sales,63939,0
38,11,12,40,HR,92589,1
56,14,14,51,Sales,114878,1
42,12,14,52,HR,108568,1
54,20,16,40,IT,131172,1
28,6,12,36,HR,70952,0
60,13,16,46,IT,107904,1
39,9,16,46,Sales,99101,1
57,15,16,38,IT,118624,1
26,1,12,50,HR,59326,0
46,3,14,54,IT,78138,0
54,26,14,44,Finance,152709,1
26,4,12,59,HR,72070,0
57,8,14,44,HR,89522,1
53,6,12,41,IT,77428,0
42,20,12,48,Sales,129211,1
41,9,14,41,Sales,88491,1
26,3,18,46,HR,81974,1
26,4,16,45,HR,77890,0
24,0,12,51,IT,56698,0
50,10,12,45,HR,97362,1
31,8,18,55,HR,95536,1
50,27,12,37,Sales,146227,1
51,15,12,53,HR,109739,1
44,8,14,56,IT,93960,1
29,5,14,38,HR,73271,0
23,1,18,42,HR,67776,0
51,3,12,48,HR,68972,0
60,1,16,54,Finance,66952,0
57,2,14,58,HR,70264,0
56,20,16,48,IT,133016,1
44,5,16,50,Sales,81731,1
51,10,18,49,Sales,107133,1
26,4,18,46,Finance,79560,0
22,1,12,50,IT,60786,0
40,11,18,54,Sales,112001,1
48,4,14,53,Sales,79966,0
31,8,12,39,HR,85534,1
24,3,12,46,HR,63692,0
35,11,16,39,HR,105822,1
26,1,16,44,Finance,64696,0
50,17,16,60,HR,131648,1
58,18,12,51,IT,126583,1
22,0,18,49,Finance,66800,0
35,8,18,42,Sales,99893,1
31,3,18,42,Sales,83184,1
28,7,12,42,IT,78360,0
46,16,12,44,IT,118180,1
25,0,12,54,Sales,57380,0
26,1,12,47,IT,61916,0
46,8,12,50,IT,83780,1
24,0,18,43,IT,70333,0
